verbatimScientificName,individualCount,decimalLatitude,decimalLongitude,eventDate,day,month,year,stateProvince,week
Cardellina canadensis,1.0,0.648244,-77.06748,2021-11-15,15,11,2021,Putumayo,46
Cardellina canadensis,3.0,4.606487,-74.30552,2021-10-09,9,10,2021,Cundinamarca,40
Cardellina canadensis,1.0,1.911733,-76.077866,2021-10-09,9,10,2021,Huila,40
Cardellina canadensis,3.0,5.330149,-74.92023,2021-01-10,10,1,2021,Caldas,2
Cardellina canadensis,1.0,4.4153,-75.445755,2021-01-10,10,1,2021,Tolima,2
Cardellina canadensis,1.0,6.140314,-75.558716,2021-10-09,9,10,2021,Antioquia,40
Cardellina canadensis,1.0,5.064686,-75.59219,2021-10-08,8,10,2021,Caldas,40
Cardellina canadensis,1.0,4.57959,-75.65409,2021-03-28,28,3,2021,Quindío,13
Cardellina canadensis,1.0,4.59545,-74.34113,2021-01-25,25,1,2021,Cundinamarca,4
Cardellina canadensis,1.0,4.941145,-74.005905,2021-10-09,9,10,2021,Cundinamarca,40
Cardellina canadensis,1.0,4.642626,-74.150604,2021-10-24,24,10,2021,Distrito Capital de Bogotá,43
Cardellina canadensis,2.0,6.475016,-75.303764,2021-12-31,31,12,2021,Antioquia,52
Cardellina canadensis,1.0,4.264018,-73.58398,2021-12-21,21,12,2021,Meta,51
Cardellina canadensis,1.0,4.658577,-74.09362,2021-10-01,1,10,2021,Distrito Capital de Bogotá,39
Cardellina canadensis,2.0,5.016527,-75.50516,2021-12-16,16,12,2021,Caldas,50
Cardellina canadensis,1.0,5.026326,-74.328316,2021-10-16,16,10,2021,Cundinamarca,41
Cardellina canadensis,2.0,5.018686,-75.40345,2021-11-13,13,11,2021,Caldas,45
Cardellina canadensis,1.0,4.26239,-73.80045,2021-10-31,31,10,2021,Cundinamarca,44
Hirundo rustica,1.0,8.444687,-76.79197,2021-10-05,5,10,2021,Antioquia,40
Cardellina canadensis,1.0,4.702059,-75.53586,2021-11-15,15,11,2021,Risaralda,46
Cardellina canadensis,1.0,4.986292,-75.550865,2021-01-23,23,1,2021,Caldas,3
Hirundo rustica,6.0,4.730283,-74.14932,2021-10-15,15,10,2021,Cundinamarca,41
Cardellina canadensis,2.0,5.820613,-76.172676,2021-11-12,12,11,2021,Chocó,45
Hirundo rustica,1.0,12.524252,-81.72555,2021-10-12,12,10,2021,San Andrés Providencia y Santa Catalina,41
Vireo flavoviridis,2.0,4.696168,-74.09399,2021-10-24,24,10,2021,Distrito Capital de Bogotá,43
Cardellina canadensis,1.0,4.506644,-75.29666,2021-10-21,21,10,2021,Tolima,42
Hirundo rustica,10.0,6.463384,-74.45563,2021-12-13,13,12,2021,Antioquia,50
Cardellina canadensis,1.0,4.530972,-74.59893,2021-12-28,28,12,2021,Cundinamarca,52
Cardellina canadensis,1.0,4.658577,-74.09362,2021-10-28,28,10,2021,Distrito Capital de Bogotá,43
Hirundo rustica,9.0,-3.768976,-70.38943,2021-01-31,31,1,2021,Amazonas,5
Cardellina canadensis,1.0,4.521615,-75.65353,2021-12-28,28,12,2021,Quindío,52
Cardellina canadensis,1.0,6.852191,-73.37682,2021-11-14,14,11,2021,Santander,46
Cardellina canadensis,2.0,4.273772,-73.58589,2021-11-21,21,11,2021,Meta,47
Cardellina canadensis,2.0,5.2857,-75.0638,2021-12-15,15,12,2021,Caldas,50
Cardellina canadensis,6.0,4.702022,-74.07328,2021-10-24,24,10,2021,Distrito Capital de Bogotá,43
Hirundo rustica,10.0,5.496466,-72.95918,2021-10-23,23,10,2021,Boyacá,42
